code_article,libelle,famille,unite,prix_standard,statut,fournisseur_principal
ART041,Planche de rive 3m,ARMATURE,L,185.79,ACTIF,FOUR011
ART042,Poutre précontrainte T160,BETON,L,394.61,INACTIF,FOUR016
ART043,Voile béton 18cm,ISOLATION,L,37.12,ACTIF,FOUR008
ART044,Gaine technique 3m,ISOLATION,KG,281.68,ACTIF,FOUR008
ART045,Linteau préfabriqué 1m20,ARMATURE,M,423.91,ACTIF,FOUR014
ART046,Planche de rive 3m,ISOLATION,KG,24.01,ACTIF,FOUR018
ART047,Linteau préfabriqué 1m20,ISOLATION,KG,215.63,ACTIF,FOUR012
ART048,Gaine technique 3m,ARMATURE,KG,146.47,ACTIF,FOUR010
ART049,Voile béton 18cm,ARMATURE,M,296.23,INACTIF,FOUR018
ART050,Prémur 15cm,ISOLATION,L,320.57,ACTIF,FOUR008
ART051,Voile béton 18cm,ISOLATION,M,115.87,ACTIF,FOUR003
ART052,Plaque de sol 40x40,ARMATURE,M,218.84,INACTIF,FOUR013
ART053,Voile béton 18cm,BETON,M,38.45,INACTIF,FOUR005
ART054,Plaque de sol 40x40,BETON,L,468.19,INACTIF,FOUR008
ART055,Linteau préfabriqué 1m20,ISOLATION,KG,250.35,ACTIF,FOUR005
ART056,Plaque de sol 40x40,ARMATURE,KG,74.13,ACTIF,FOUR014
ART057,Poutre précontrainte T160,BETON,KG,332.97,ACTIF,FOUR015
ART058,Poteau carré 25x25,ISOLATION,L,190.29,ACTIF,FOUR001
ART059,Prémur 15cm,ISOLATION,L,308.94,ACTIF,FOUR017
ART060,Voile béton 18cm,BETON,M,361.11,ACTIF,FOUR006
ART061,Linteau préfabriqué 1m20,ISOLATION,L,298.8,ACTIF,FOUR010
ART062,Voile béton 18cm,ARMATURE,L,440.82,INACTIF,FOUR015
ART063,Linteau préfabriqué 1m20,ISOLATION,L,419.66,ACTIF,FOUR002
ART064,Planche de rive 3m,ARMATURE,L,78.04,INACTIF,FOUR015
ART065,Voile béton 18cm,ARMATURE,M,361.54,INACTIF,FOUR001
ART066,Voile béton 18cm,ISOLATION,KG,259.66,INACTIF,FOUR012
ART067,Poutre précontrainte T160,ARMATURE,M,295.76,INACTIF,FOUR008
ART068,Prémur 15cm,ISOLATION,M,248.13,INACTIF,FOUR006
ART069,Prémur 15cm,BETON,M,175.63,INACTIF,FOUR003
ART070,Prémur 15cm,ARMATURE,KG,123.13,INACTIF,FOUR011
ART071,Prémur 15cm,ISOLATION,KG,302.62,INACTIF,FOUR003
ART072,Poutre précontrainte T160,ARMATURE,KG,274.15,ACTIF,FOUR011
ART073,Gaine technique 3m,ISOLATION,L,486.06,ACTIF,FOUR002
ART074,Voile béton 18cm,BETON,M,21.14,INACTIF,FOUR019
ART075,Plaque de sol 40x40,ARMATURE,M,149.36,INACTIF,FOUR012
ART076,Gaine technique 3m,BETON,L,485.26,ACTIF,FOUR004
ART077,Planche de rive 3m,BETON,L,211.61,ACTIF,FOUR002
ART078,Voile béton 18cm,ISOLATION,M,73.19,ACTIF,FOUR008
ART079,Escalier droit 12 marches,ISOLATION,M,393.51,INACTIF,FOUR007
ART080,Escalier droit 12 marches,BETON,KG,36.04,INACTIF,FOUR007
ART081,Planche de rive 3m,ARMATURE,M,361.49,INACTIF,FOUR001
ART082,Voile béton 18cm,BETON,L,400.97,INACTIF,FOUR001
ART083,Prémur 15cm,BETON,L,107.34,INACTIF,FOUR003
ART084,Plaque de sol 40x40,ARMATURE,M,158.93,ACTIF,FOUR005
ART085,Poutre précontrainte T160,BETON,L,87.88,ACTIF,FOUR012
ART086,Prémur 15cm,ARMATURE,KG,370.48,INACTIF,FOUR013
ART087,Prémur 15cm,ISOLATION,L,25.0,ACTIF,FOUR011
ART088,Linteau préfabriqué 1m20,BETON,L,243.61,ACTIF,FOUR018
ART089,Plaque de sol 40x40,BETON,M,261.51,INACTIF,FOUR008
ART090,Linteau préfabriqué 1m20,ISOLATION,KG,409.19,INACTIF,FOUR012
ART091,Poutre précontrainte T160,ARMATURE,L,467.71,INACTIF,FOUR008
ART092,Dalle pleine 20cm,ARMATURE,M,428.43,INACTIF,FOUR014
ART093,Poutre précontrainte T160,BETON,M,331.03,INACTIF,FOUR010
ART094,Poteau carré 25x25,BETON,KG,284.56,ACTIF,FOUR006
ART095,Poutre précontrainte T160,ARMATURE,KG,338.63,ACTIF,FOUR008
ART096,Prémur 15cm,ISOLATION,L,94.77,ACTIF,FOUR008
ART097,Linteau préfabriqué 1m20,BETON,L,134.61,INACTIF,FOUR016
ART098,Voile béton 18cm,BETON,L,231.65,ACTIF,FOUR002
ART099,Dalle pleine 20cm,ARMATURE,M,420.65,INACTIF,FOUR005
ART100,Voile béton 18cm,ISOLATION,L,163.83,ACTIF,FOUR015
