code_article,depot,quantite_stock,date_maj
ART039,DEP_NORD,710,2025-12-25
ART031,DEP_LIMAY,57,2024-11-01
ART070,DEP_AVIGNON,717,2026-03-07
ART033,DEP_GRIGNY,254,2025-01-16
ART066,DEP_GRIGNY,100,2026-03-19
ART029,DEP_GRIGNY,287,2025-04-13
ART024,DEP_LIMAY,440,2025-08-12
ART004,DEP_GRIGNY,75,2025-02-26
ART024,DEP_CIEL,36,2026-05-02
ART066,DEP_LIMAY,419,2024-10-28
ART076,DEP_GRAULHET,269,2025-12-09
ART042,DEP_GRIGNY,468,2024-08-22
ART028,DEP_AVIGNON,328,2025-08-01
ART096,DEP_VERNOUILLET,10,2025-10-30
ART042,DEP_NORD,761,2024-11-25
ART078,DEP_CIEL,530,2025-08-09
ART031,DEP_GRAULHET,350,2024-08-01
ART032,DEP_VERNOUILLET,671,2025-04-28
ART093,DEP_VERNOUILLET,635,2025-09-13
ART018,DEP_OUEST,666,2024-08-01
ART019,DEP_CIEL,572,2025-07-28
ART021,DEP_GRAULHET,551,2025-09-15
ART010,DEP_AVIGNON,263,2025-08-04
ART037,DEP_GRIGNY,184,2024-10-26
ART044,DEP_GRAULHET,527,2024-11-20
ART050,DEP_AVIGNON,491,2025-09-01
ART017,DEP_GRIGNY,510,2025-08-26
ART070,DEP_GRIGNY,131,2026-03-16
ART094,DEP_GRAULHET,115,2025-05-31
ART015,DEP_AVIGNON,575,2025-02-28
ART031,DEP_AVIGNON,384,2025-06-30
ART078,DEP_OUEST,240,2025-02-12
ART035,DEP_VERNOUILLET,658,2025-01-16
ART068,DEP_CIEL,389,2026-05-09
ART007,DEP_LIMAY,281,2026-04-11
ART052,DEP_AVIGNON,213,2025-06-30
ART068,DEP_GRAULHET,728,2026-03-24
ART100,DEP_AVIGNON,687,2025-12-17
ART026,DEP_AVIGNON,526,2025-12-17
ART062,DEP_OUEST,12,2025-10-02
ART024,DEP_NORD,726,2024-11-04
ART058,DEP_NORD,107,2024-08-21
ART089,DEP_LIMAY,525,2025-12-03
ART027,DEP_GRAULHET,413,2026-02-26
ART029,DEP_CIEL,670,2025-04-07
ART059,DEP_VERNOUILLET,276,2025-05-03
ART064,DEP_AVIGNON,226,2025-02-15
ART032,DEP_OUEST,743,2025-07-06
ART098,DEP_VERNOUILLET,46,2025-11-03
ART010,DEP_GRAULHET,782,2026-03-09
ART092,DEP_NORD,738,2024-06-08
ART002,DEP_GRIGNY,173,2025-11-20
ART065,DEP_CIEL,600,2024-06-18
ART025,DEP_NORD,518,2026-04-29
ART043,DEP_GRIGNY,97,2026-01-12
ART035,DEP_CIEL,321,2025-05-23
ART042,DEP_VERNOUILLET,725,2025-03-11
ART040,DEP_NORD,650,2026-02-09
ART025,DEP_LIMAY,787,2025-01-07
ART013,DEP_OUEST,286,2025-09-13
ART024,DEP_AVIGNON,276,2024-09-19
ART068,DEP_VERNOUILLET,226,2025-12-12
ART040,DEP_OUEST,2,2025-09-30
ART007,DEP_VERNOUILLET,166,2024-06-18
ART038,DEP_NORD,30,2025-05-19
ART031,DEP_OUEST,635,2025-07-25
ART055,DEP_NORD,84,2025-07-31
ART085,DEP_LIMAY,52,2025-05-28
ART059,DEP_OUEST,33,2025-12-03
ART051,DEP_GRAULHET,689,2025-12-13
ART003,DEP_CIEL,135,2025-02-10
ART008,DEP_OUEST,529,2025-06-29
ART020,DEP_AVIGNON,707,2025-07-12
ART025,DEP_GRAULHET,699,2026-05-12
ART084,DEP_AVIGNON,579,2025-02-06
ART001,DEP_VERNOUILLET,521,2025-06-15
ART046,DEP_CIEL,446,2025-01-17
ART088,DEP_NORD,28,2025-10-25
ART005,DEP_VERNOUILLET,392,2025-03-13
ART093,DEP_OUEST,455,2025-11-22
ART019,DEP_OUEST,485,2026-03-31
ART089,DEP_NORD,410,2024-08-14
ART029,DEP_LIMAY,239,2024-07-03
ART018,DEP_GRAULHET,756,2025-05-26
ART019,DEP_NORD,339,2025-07-18
ART005,DEP_NORD,100,2024-09-05
ART023,DEP_GRAULHET,4,2024-10-15
ART074,DEP_AVIGNON,130,2025-06-01
ART006,DEP_NORD,70,2024-10-25
ART068,DEP_OUEST,636,2025-01-03
ART091,DEP_CIEL,735,2026-04-22
ART042,DEP_GRIGNY,448,2024-06-11
ART071,DEP_GRIGNY,378,2026-03-03
ART059,DEP_VERNOUILLET,693,2026-05-07
ART096,DEP_OUEST,760,2025-08-25
ART026,DEP_AVIGNON,241,2025-08-24
ART078,DEP_VERNOUILLET,187,2025-07-07
ART069,DEP_GRAULHET,778,2026-02-11
ART050,DEP_LIMAY,778,2025-12-18
ART012,DEP_AVIGNON,99,2026-01-04
ART043,DEP_GRAULHET,124,2025-09-29
ART035,DEP_LIMAY,248,2025-02-17
ART019,DEP_LIMAY,255,2026-01-08
ART093,DEP_AVIGNON,83,2025-06-11
ART075,DEP_LIMAY,155,2024-08-15
ART055,DEP_AVIGNON,276,2026-02-07
ART053,DEP_NORD,82,2024-11-19
ART063,DEP_OUEST,355,2025-10-13
ART095,DEP_CIEL,336,2025-09-27
ART076,DEP_OUEST,186,2026-02-27
ART066,DEP_GRAULHET,321,2026-04-12
ART061,DEP_LIMAY,778,2025-08-03
ART093,DEP_NORD,520,2025-02-22
ART085,DEP_AVIGNON,166,2025-03-01
ART017,DEP_VERNOUILLET,250,2025-04-24
ART086,DEP_NORD,302,2024-11-10
ART004,DEP_OUEST,493,2025-07-30
ART091,DEP_OUEST,69,2024-12-29
ART010,DEP_GRIGNY,415,2024-08-13
ART072,DEP_LIMAY,611,2026-05-04
ART005,DEP_AVIGNON,84,2026-01-05
ART079,DEP_NORD,320,2025-07-16
ART076,DEP_NORD,31,2024-09-04
ART070,DEP_AVIGNON,737,2025-12-09
ART094,DEP_OUEST,436,2026-03-02
ART042,DEP_OUEST,104,2026-01-26
ART010,DEP_VERNOUILLET,330,2024-11-09
ART026,DEP_NORD,619,2025-09-15
ART022,DEP_GRAULHET,402,2024-08-19
ART024,DEP_AVIGNON,315,2024-11-10
ART020,DEP_LIMAY,302,2024-07-15
ART027,DEP_LIMAY,51,2024-07-20
ART036,DEP_VERNOUILLET,283,2024-10-10
ART033,DEP_LIMAY,171,2025-04-22
ART076,DEP_GRAULHET,442,2024-06-27
ART076,DEP_AVIGNON,322,2025-05-04
ART046,DEP_NORD,607,2025-07-28
ART017,DEP_CIEL,737,2025-06-16
ART043,DEP_GRAULHET,76,2025-05-21
ART082,DEP_NORD,253,2025-05-27
ART013,DEP_OUEST,462,2024-06-07
ART065,DEP_GRAULHET,145,2025-07-28
ART017,DEP_OUEST,132,2025-12-03
ART012,DEP_GRIGNY,266,2026-03-15
ART044,DEP_CIEL,309,2025-09-19
ART051,DEP_VERNOUILLET,166,2024-11-26
ART064,DEP_GRIGNY,188,2025-02-14
ART046,DEP_AVIGNON,701,2025-02-17
ART075,DEP_NORD,610,2025-06-08
ART072,DEP_CIEL,323,2025-10-07
ART024,DEP_AVIGNON,425,2025-10-24
ART056,DEP_GRAULHET,126,2025-07-04
ART037,DEP_GRAULHET,100,2026-02-22
ART029,DEP_OUEST,147,2026-03-07
ART074,DEP_NORD,53,2024-09-05
ART057,DEP_LIMAY,54,2024-08-25
ART092,DEP_AVIGNON,229,2025-07-11
ART052,DEP_NORD,405,2024-11-06
ART003,DEP_GRAULHET,364,2026-03-14
ART078,DEP_CIEL,137,2024-11-02
ART012,DEP_GRAULHET,472,2025-11-25
ART062,DEP_GRAULHET,407,2025-02-27
ART063,DEP_GRAULHET,563,2024-12-02
ART007,DEP_OUEST,290,2025-03-28
ART021,DEP_NORD,240,2024-12-11
ART025,DEP_CIEL,777,2025-07-12
ART068,DEP_OUEST,348,2025-09-27
ART081,DEP_GRIGNY,437,2026-01-11
ART090,DEP_VERNOUILLET,558,2025-10-21
ART100,DEP_GRAULHET,656,2025-03-02
ART064,DEP_GRAULHET,165,2025-10-17
ART077,DEP_AVIGNON,592,2024-09-08
ART026,DEP_OUEST,111,2025-11-18
ART024,DEP_GRIGNY,132,2024-12-12
ART072,DEP_CIEL,707,2024-07-26
ART051,DEP_GRAULHET,65,2025-04-23
ART014,DEP_GRAULHET,620,2025-10-02
ART073,DEP_CIEL,269,2024-07-01
ART028,DEP_OUEST,352,2026-01-30
ART098,DEP_VERNOUILLET,664,2025-03-14
ART008,DEP_VERNOUILLET,201,2025-10-23
ART077,DEP_AVIGNON,647,2024-08-03
ART056,DEP_LIMAY,451,2025-03-04
ART083,DEP_GRIGNY,535,2024-06-27
ART091,DEP_AVIGNON,159,2025-12-26
ART011,DEP_GRAULHET,202,2024-06-07
ART048,DEP_GRIGNY,81,2026-02-12
ART071,DEP_CIEL,183,2025-12-15
ART081,DEP_VERNOUILLET,572,2025-01-27
ART041,DEP_AVIGNON,4,2025-05-13
ART052,DEP_OUEST,184,2026-05-29
ART010,DEP_CIEL,392,2025-07-25
ART067,DEP_VERNOUILLET,544,2025-09-11
ART084,DEP_OUEST,289,2025-12-29
ART065,DEP_GRIGNY,85,2026-01-22
ART026,DEP_AVIGNON,447,2025-05-28
ART008,DEP_GRAULHET,140,2025-02-09
ART054,DEP_AVIGNON,441,2024-06-30
ART079,DEP_VERNOUILLET,620,2025-11-29
ART021,DEP_VERNOUILLET,4,2025-09-13
ART063,DEP_OUEST,670,2025-12-23
ART030,DEP_GRIGNY,197,2025-03-06
ART067,DEP_GRIGNY,687,2024-11-17
ART096,DEP_GRAULHET,362,2025-05-18
ART037,DEP_CIEL,14,2025-11-16
ART083,DEP_GRIGNY,427,2026-01-22
ART057,DEP_CIEL,445,2025-12-03
ART098,DEP_GRAULHET,526,2025-10-04
ART052,DEP_GRAULHET,27,2024-12-27
ART001,DEP_GRAULHET,305,2026-04-11
ART025,DEP_OUEST,700,2024-06-13
ART061,DEP_VERNOUILLET,346,2026-05-22
ART010,DEP_AVIGNON,107,2025-12-14
ART041,DEP_NORD,212,2025-05-30
ART045,DEP_LIMAY,12,2025-09-18
ART053,DEP_OUEST,279,2025-05-04
ART073,DEP_VERNOUILLET,790,2024-09-22
ART063,DEP_NORD,210,2026-04-25
ART077,DEP_CIEL,682,2025-03-18
ART022,DEP_GRAULHET,781,2025-01-04
ART087,DEP_GRAULHET,51,2026-04-01
ART022,DEP_AVIGNON,609,2024-07-17
ART089,DEP_AVIGNON,612,2024-06-07
ART084,DEP_GRAULHET,432,2025-03-14
ART069,DEP_VERNOUILLET,696,2025-10-29
ART006,DEP_CIEL,684,2025-06-05
ART077,DEP_LIMAY,609,2024-06-19
ART030,DEP_GRIGNY,380,2025-12-12
ART043,DEP_LIMAY,295,2024-11-10
ART074,DEP_CIEL,492,2026-03-29
ART067,DEP_OUEST,158,2025-02-20
ART032,DEP_GRAULHET,467,2025-05-09
ART089,DEP_GRAULHET,797,2025-10-12
ART095,DEP_AVIGNON,484,2024-06-07
ART039,DEP_GRIGNY,476,2024-09-08
ART080,DEP_VERNOUILLET,321,2026-05-11
ART004,DEP_NORD,607,2024-11-19
ART036,DEP_VERNOUILLET,251,2026-05-13
ART027,DEP_VERNOUILLET,740,2025-10-10
ART014,DEP_CIEL,666,2025-08-08
ART065,DEP_GRAULHET,395,2024-06-08
ART072,DEP_OUEST,120,2025-04-21
ART054,DEP_VERNOUILLET,17,2024-11-30
ART044,DEP_LIMAY,544,2025-06-07
ART023,DEP_CIEL,87,2024-07-19
ART090,DEP_NORD,362,2025-08-22
ART088,DEP_GRAULHET,466,2025-09-23
ART073,DEP_NORD,299,2025-03-18
ART066,DEP_GRIGNY,33,2026-04-05
ART094,DEP_VERNOUILLET,167,2024-09-23
ART040,DEP_LIMAY,437,2024-08-12
ART070,DEP_GRAULHET,306,2024-06-09
ART050,DEP_CIEL,624,2025-06-24
ART064,DEP_LIMAY,62,2024-06-30
ART010,DEP_AVIGNON,50,2026-01-15
ART067,DEP_AVIGNON,509,2025-01-25
ART032,DEP_LIMAY,358,2024-11-24
ART058,DEP_OUEST,295,2024-12-12
ART061,DEP_OUEST,111,2024-10-30
ART052,DEP_VERNOUILLET,289,2025-03-10
ART024,DEP_NORD,146,2025-11-21
ART068,DEP_LIMAY,630,2025-09-23
ART080,DEP_GRAULHET,21,2026-06-03
ART078,DEP_AVIGNON,462,2026-05-02
ART028,DEP_LIMAY,590,2025-07-27
ART023,DEP_LIMAY,496,2024-06-28
ART059,DEP_LIMAY,274,2024-08-16
ART009,DEP_VERNOUILLET,2,2026-02-09
ART032,DEP_GRAULHET,70,2026-01-27
ART042,DEP_LIMAY,118,2025-09-11
ART002,DEP_VERNOUILLET,438,2025-06-08
ART016,DEP_VERNOUILLET,362,2024-12-06
ART044,DEP_OUEST,238,2026-03-11
ART066,DEP_AVIGNON,735,2024-08-18
ART097,DEP_LIMAY,434,2024-07-11
ART022,DEP_AVIGNON,381,2024-06-17
ART003,DEP_GRAULHET,51,2026-03-17
ART085,DEP_GRAULHET,479,2025-10-18
ART029,DEP_AVIGNON,192,2025-10-08
ART095,DEP_NORD,772,2024-07-23
ART036,DEP_GRIGNY,374,2025-01-24
ART089,DEP_OUEST,772,2025-02-26
ART022,DEP_GRIGNY,570,2026-05-24
ART086,DEP_VERNOUILLET,27,2025-01-05
ART068,DEP_LIMAY,532,2025-01-16
ART045,DEP_LIMAY,124,2024-10-12
ART042,DEP_GRAULHET,27,2026-02-17
ART013,DEP_NORD,243,2025-02-14
ART076,DEP_NORD,145,2025-03-18
ART060,DEP_NORD,595,2024-08-09
ART007,DEP_AVIGNON,241,2025-05-31
ART015,DEP_OUEST,73,2024-10-07
ART019,DEP_OUEST,635,2024-11-21
ART002,DEP_OUEST,620,2026-02-06
ART048,DEP_GRIGNY,701,2026-02-11
ART094,DEP_CIEL,299,2025-06-29
ART027,DEP_GRIGNY,468,2025-04-30
ART029,DEP_LIMAY,253,2024-10-11
ART100,DEP_VERNOUILLET,774,2024-08-31
ART068,DEP_LIMAY,543,2026-03-26
ART075,DEP_LIMAY,604,2025-09-06
ART091,DEP_AVIGNON,32,2026-04-23
ART058,DEP_GRIGNY,124,2024-09-27
ART052,DEP_NORD,285,2025-02-01
ART094,DEP_GRAULHET,746,2026-05-02
ART019,DEP_GRAULHET,446,2025-10-22
ART073,DEP_CIEL,62,2026-01-30
ART056,DEP_GRIGNY,283,2025-01-24
ART008,DEP_CIEL,408,2025-06-07
ART085,DEP_GRAULHET,197,2025-05-26
ART007,DEP_LIMAY,163,2025-09-17
ART035,DEP_CIEL,378,2026-02-19
ART055,DEP_NORD,508,2024-07-01
ART051,DEP_LIMAY,780,2024-07-19
ART059,DEP_GRAULHET,46,2025-08-26
ART061,DEP_NORD,556,2025-10-06
ART082,DEP_GRAULHET,668,2026-02-17
ART063,DEP_OUEST,38,2025-11-30
ART088,DEP_NORD,426,2026-05-29
ART003,DEP_LIMAY,281,2025-10-08
ART040,DEP_NORD,334,2024-09-04
ART051,DEP_AVIGNON,17,2025-04-14
ART086,DEP_AVIGNON,799,2026-01-14
ART065,DEP_GRIGNY,541,2024-10-11
ART014,DEP_GRIGNY,87,2025-04-13
ART098,DEP_VERNOUILLET,542,2026-02-13
ART001,DEP_VERNOUILLET,234,2025-06-22
ART004,DEP_GRIGNY,19,2024-06-23
ART014,DEP_AVIGNON,627,2024-10-17
ART061,DEP_GRIGNY,417,2024-10-02
ART011,DEP_VERNOUILLET,148,2025-02-06
ART016,DEP_GRAULHET,449,2024-10-18
ART065,DEP_GRIGNY,505,2026-04-07
ART047,DEP_AVIGNON,446,2025-03-16
ART087,DEP_GRAULHET,540,2026-04-28
ART026,DEP_NORD,744,2024-12-10
ART053,DEP_GRIGNY,697,2025-11-04
ART062,DEP_GRAULHET,665,2025-07-19
ART094,DEP_CIEL,479,2025-12-14
ART073,DEP_OUEST,100,2024-11-01
ART062,DEP_OUEST,710,2025-09-20
ART074,DEP_OUEST,649,2025-12-24
ART004,DEP_NORD,757,2025-06-19
ART089,DEP_LIMAY,468,2025-12-30
ART070,DEP_VERNOUILLET,728,2025-09-16
ART030,DEP_AVIGNON,164,2024-11-05
ART086,DEP_LIMAY,545,2026-06-04
ART009,DEP_NORD,19,2024-09-14
ART008,DEP_GRAULHET,104,2025-09-06
ART032,DEP_CIEL,88,2025-08-02
ART006,DEP_OUEST,705,2025-04-13
ART091,DEP_VERNOUILLET,390,2025-03-10
ART083,DEP_GRAULHET,738,2024-06-12
ART056,DEP_GRIGNY,418,2025-05-07
ART089,DEP_CIEL,669,2025-08-28
ART093,DEP_NORD,15,2024-11-01
ART010,DEP_GRAULHET,668,2024-06-23
ART043,DEP_OUEST,562,2025-01-12
ART076,DEP_OUEST,51,2025-01-29
ART032,DEP_NORD,38,2025-01-28
ART033,DEP_GRAULHET,96,2025-04-09
ART025,DEP_LIMAY,93,2025-09-25
ART069,DEP_VERNOUILLET,298,2025-02-07
ART010,DEP_VERNOUILLET,225,2024-12-11
ART018,DEP_NORD,228,2025-09-03
ART034,DEP_NORD,240,2025-07-10
ART074,DEP_CIEL,331,2025-05-04
ART099,DEP_GRIGNY,296,2024-08-08
ART067,DEP_VERNOUILLET,243,2025-09-21
ART054,DEP_GRIGNY,342,2026-02-04
ART028,DEP_GRIGNY,567,2025-01-24
ART007,DEP_AVIGNON,151,2026-01-19
ART086,DEP_OUEST,793,2024-07-16
ART081,DEP_NORD,775,2025-11-23
ART030,DEP_AVIGNON,214,2024-07-26
ART082,DEP_VERNOUILLET,507,2025-03-09
ART066,DEP_LIMAY,429,2024-08-08
ART093,DEP_NORD,717,2026-01-16
ART036,DEP_AVIGNON,317,2025-05-29
ART031,DEP_AVIGNON,183,2025-10-02
ART099,DEP_CIEL,744,2025-06-24
ART016,DEP_GRAULHET,487,2025-01-30
ART097,DEP_GRAULHET,421,2024-09-29
ART065,DEP_NORD,73,2026-04-21
ART045,DEP_LIMAY,763,2026-02-02
ART073,DEP_CIEL,646,2025-04-01
ART091,DEP_LIMAY,426,2024-12-06
ART074,DEP_OUEST,657,2026-04-06
ART051,DEP_CIEL,404,2025-06-17
ART002,DEP_AVIGNON,759,2025-08-06
ART007,DEP_LIMAY,106,2024-08-08
ART099,DEP_OUEST,788,2024-12-06
ART078,DEP_LIMAY,352,2025-09-30
ART021,DEP_AVIGNON,487,2025-04-01
ART013,DEP_CIEL,284,2025-08-18
ART078,DEP_CIEL,189,2025-06-03
ART059,DEP_GRAULHET,95,2024-09-17
ART089,DEP_NORD,44,2024-11-30
ART035,DEP_GRAULHET,722,2024-08-04
ART045,DEP_GRAULHET,365,2025-02-15
ART019,DEP_CIEL,254,2026-02-20
ART004,DEP_NORD,591,2024-12-25
ART062,DEP_VERNOUILLET,286,2026-03-17
ART005,DEP_GRIGNY,297,2025-08-19
ART054,DEP_LIMAY,532,2024-11-28
ART080,DEP_CIEL,248,2026-03-22
ART036,DEP_LIMAY,726,2026-06-03
ART023,DEP_AVIGNON,106,2024-07-18
ART099,DEP_NORD,449,2024-08-28
ART035,DEP_LIMAY,468,2025-10-14
ART039,DEP_LIMAY,458,2026-01-09
ART019,DEP_GRIGNY,351,2024-08-10
ART069,DEP_CIEL,211,2025-12-03
ART029,DEP_GRIGNY,491,2024-09-07
ART049,DEP_AVIGNON,533,2026-03-01
ART070,DEP_NORD,261,2026-05-12
ART063,DEP_OUEST,443,2025-12-14
ART035,DEP_CIEL,257,2026-05-03
ART070,DEP_GRIGNY,320,2024-12-03
ART010,DEP_CIEL,337,2024-12-01
ART019,DEP_GRAULHET,365,2024-06-11
ART060,DEP_AVIGNON,680,2024-08-06
ART021,DEP_AVIGNON,128,2024-12-14
ART077,DEP_GRAULHET,537,2026-03-12
ART071,DEP_VERNOUILLET,50,2026-05-30
ART064,DEP_GRIGNY,394,2025-04-27
ART058,DEP_OUEST,131,2024-10-18
ART015,DEP_NORD,373,2025-09-17
ART078,DEP_LIMAY,7,2025-07-12
ART022,DEP_GRIGNY,596,2024-10-13
ART009,DEP_GRIGNY,681,2025-03-06
ART053,DEP_LIMAY,732,2025-11-25
ART065,DEP_CIEL,118,2026-03-25
ART037,DEP_AVIGNON,638,2025-04-05
ART095,DEP_NORD,122,2025-09-30
ART033,DEP_VERNOUILLET,88,2024-06-08
ART015,DEP_AVIGNON,14,2026-02-11
ART076,DEP_VERNOUILLET,744,2025-02-07
ART079,DEP_VERNOUILLET,364,2024-10-14
ART010,DEP_AVIGNON,286,2025-06-05
ART009,DEP_AVIGNON,552,2024-09-23
ART074,DEP_VERNOUILLET,740,2024-08-13
ART097,DEP_GRIGNY,604,2025-02-16
ART034,DEP_NORD,551,2025-05-03
ART063,DEP_AVIGNON,549,2024-06-18
ART061,DEP_AVIGNON,241,2025-09-25
ART009,DEP_VERNOUILLET,202,2025-07-31
ART074,DEP_GRIGNY,214,2026-01-17
ART036,DEP_OUEST,521,2026-04-08
ART100,DEP_LIMAY,748,2025-08-07
ART091,DEP_VERNOUILLET,319,2025-05-28
ART053,DEP_OUEST,88,2025-09-29
ART016,DEP_OUEST,295,2025-04-27
ART005,DEP_CIEL,644,2025-06-19
ART024,DEP_LIMAY,523,2025-10-24
ART047,DEP_GRAULHET,80,2025-04-24
ART053,DEP_OUEST,690,2024-06-10
ART047,DEP_VERNOUILLET,505,2025-04-29
ART052,DEP_NORD,375,2024-10-08
ART044,DEP_LIMAY,392,2024-12-23
ART031,DEP_CIEL,583,2025-03-08
ART064,DEP_GRIGNY,222,2025-06-06
ART094,DEP_VERNOUILLET,168,2024-12-23
ART100,DEP_CIEL,372,2025-01-02
ART008,DEP_LIMAY,259,2026-03-11
ART072,DEP_OUEST,213,2026-02-09
ART007,DEP_GRIGNY,140,2024-06-04
ART086,DEP_OUEST,781,2026-01-20
ART023,DEP_NORD,24,2025-10-06
ART094,DEP_GRAULHET,793,2025-09-27
ART085,DEP_LIMAY,185,2024-09-28
ART059,DEP_OUEST,633,2025-05-13
ART062,DEP_OUEST,710,2026-01-31
ART012,DEP_AVIGNON,103,2025-03-11
ART023,DEP_GRAULHET,531,2025-04-18
ART053,DEP_NORD,63,2026-01-09
ART025,DEP_VERNOUILLET,707,2024-07-09
ART037,DEP_AVIGNON,42,2024-09-22
ART018,DEP_OUEST,349,2024-10-05
ART093,DEP_NORD,36,2024-09-25
ART100,DEP_GRAULHET,600,2025-05-16
ART061,DEP_NORD,734,2025-04-30
ART026,DEP_OUEST,420,2024-09-09
ART038,DEP_VERNOUILLET,571,2026-04-13
ART061,DEP_GRAULHET,437,2026-04-01
ART066,DEP_LIMAY,14,2024-08-31
ART037,DEP_LIMAY,699,2026-04-26
