code_article,libelle,famille,unite,prix_standard,statut,fournisseur_principal
ART043,Poteau carré 25x25,ARMATURE,L,447.01,INACTIF,FOUR004
ART044,Voile béton 18cm,ISOLATION,M,225.39,ACTIF,FOUR018
ART045,Voile béton 18cm,ISOLATION,KG,336.61,ACTIF,FOUR014
ART046,Poutre précontrainte T160,ARMATURE,M,294.08,ACTIF,FOUR003
ART047,Voile béton 18cm,ARMATURE,KG,190.16,INACTIF,FOUR006
ART048,Poutre précontrainte T160,ISOLATION,KG,427.99,ACTIF,FOUR008
ART049,Prémur 15cm,BETON,KG,463.32,INACTIF,FOUR008
ART050,Poutre précontrainte T160,ARMATURE,KG,390.8,INACTIF,FOUR005
ART051,Plaque de sol 40x40,ISOLATION,L,423.28,ACTIF,FOUR007
ART052,Dalle pleine 20cm,BETON,M,149.57,INACTIF,FOUR016
ART053,Poutre précontrainte T160,ISOLATION,M,186.41,ACTIF,FOUR007
ART054,Prémur 15cm,ARMATURE,M,180.98,ACTIF,FOUR011
ART055,Escalier droit 12 marches,BETON,M,222.91,INACTIF,FOUR010
ART056,Prémur 15cm,BETON,M,78.95,INACTIF,FOUR001
ART057,Plaque de sol 40x40,BETON,L,383.21,ACTIF,FOUR008
ART058,Gaine technique 3m,ARMATURE,L,274.83,INACTIF,FOUR017
ART059,Poteau carré 25x25,BETON,L,256.69,ACTIF,FOUR011
ART060,Escalier droit 12 marches,BETON,L,417.42,INACTIF,FOUR003
ART061,Gaine technique 3m,ISOLATION,M,472.94,ACTIF,FOUR005
ART062,Gaine technique 3m,ISOLATION,M,481.2,INACTIF,FOUR008
ART063,Voile béton 18cm,ISOLATION,L,284.77,ACTIF,FOUR011
ART064,Escalier droit 12 marches,BETON,L,357.84,INACTIF,FOUR009
ART065,Escalier droit 12 marches,ISOLATION,L,231.06,INACTIF,FOUR013
ART066,Gaine technique 3m,ISOLATION,M,343.55,ACTIF,FOUR009
ART067,Gaine technique 3m,ARMATURE,L,295.58,INACTIF,FOUR004
ART068,Plaque de sol 40x40,ARMATURE,M,152.48,INACTIF,FOUR015
ART069,Poteau carré 25x25,BETON,KG,11.53,ACTIF,FOUR010
ART070,Poutre précontrainte T160,BETON,L,352.99,ACTIF,FOUR004
ART071,Escalier droit 12 marches,ARMATURE,L,280.53,ACTIF,FOUR012
ART072,Poteau carré 25x25,ISOLATION,L,330.79,INACTIF,FOUR013
ART073,Prémur 15cm,BETON,L,438.7,ACTIF,FOUR019
ART074,Linteau préfabriqué 1m20,ISOLATION,M,374.93,ACTIF,FOUR010
ART075,Voile béton 18cm,ISOLATION,L,299.47,ACTIF,FOUR011
ART076,Voile béton 18cm,ISOLATION,L,231.71,ACTIF,FOUR001
ART077,Voile béton 18cm,ISOLATION,M,442.68,ACTIF,FOUR009
ART078,Prémur 15cm,ISOLATION,KG,310.57,INACTIF,FOUR013
ART079,Linteau préfabriqué 1m20,ARMATURE,KG,135.51,ACTIF,FOUR012
ART080,Poteau carré 25x25,ISOLATION,M,468.62,ACTIF,FOUR007
ART081,Prémur 15cm,BETON,M,421.66,ACTIF,FOUR013
ART082,Plaque de sol 40x40,BETON,L,172.46,ACTIF,FOUR006
ART083,Poteau carré 25x25,ISOLATION,M,449.6,INACTIF,FOUR014
ART084,Planche de rive 3m,BETON,M,245.77,ACTIF,FOUR002
ART085,Voile béton 18cm,BETON,M,150.07,ACTIF,FOUR008
ART086,Poutre précontrainte T160,BETON,M,447.8,ACTIF,FOUR004
ART087,Prémur 15cm,ISOLATION,M,351.24,ACTIF,FOUR008
ART088,Voile béton 18cm,ISOLATION,M,291.02,ACTIF,FOUR008
ART089,Escalier droit 12 marches,ARMATURE,L,447.83,ACTIF,FOUR013
ART090,Linteau préfabriqué 1m20,ARMATURE,KG,405.16,ACTIF,FOUR003
ART091,Escalier droit 12 marches,ISOLATION,L,138.75,INACTIF,FOUR011
ART092,Dalle pleine 20cm,ISOLATION,M,384.83,ACTIF,FOUR011
ART093,Prémur 15cm,ISOLATION,KG,177.52,ACTIF,FOUR016
ART094,Linteau préfabriqué 1m20,ISOLATION,M,39.8,INACTIF,FOUR016
ART095,Escalier droit 12 marches,ARMATURE,M,294.52,INACTIF,FOUR015
ART096,Poteau carré 25x25,ARMATURE,L,385.9,ACTIF,FOUR012
ART097,Escalier droit 12 marches,BETON,KG,481.99,INACTIF,FOUR013
ART098,Linteau préfabriqué 1m20,BETON,L,422.27,INACTIF,FOUR016
ART099,Gaine technique 3m,BETON,M,477.14,INACTIF,FOUR017
ART100,Planche de rive 3m,ISOLATION,KG,299.46,INACTIF,FOUR013
