numero_commande,code_article,quantite_commande,prix_vente,date_commande
COM345,ART067,168,76.0,2026-05-29
COM346,ART091,410,26.2,2024-09-10
COM347,ART095,449,179.06,2025-12-17
COM348,ART033,286,411.28,2025-09-01
COM349,ART076,497,,2025-10-16
COM350,ART046,477,314.31,2024-09-02
COM351,ART098,190,59.9,2024-07-05
COM352,ART002,44,154.76,2025-02-27
COM353,ART006,283,252.13,2025-09-20
COM354,ART052,318,144.81,2025-10-25
COM355,ART050,231,341.75,2025-04-15
COM356,ART025,317,437.98,2025-05-26
COM357,ART062,143,0.0,2026-06-01
COM358,ART049,226,203.41,2025-06-10
COM359,ART093,481,198.58,2024-11-26
COM360,ART021,314,220.24,2021-06-15 00:00:00
COM361,ART074,174,191.73,2025-09-28
COM362,ART075,82,373.58,2021-06-15 00:00:00
COM363,ART052,480,15.34,2025-11-15
COM364,ART039,133,155.85,2025-11-01
COM365,ART080,419,129.95,2025-07-30
COM366,ART040,158,176.01,2025-01-14
COM367,ART093,24,278.63,2025-05-17
COM368,ART021,471,-483.07,2024-06-08
COM369,ART019,417,152.56,2025-06-21
COM370,ART007,405,354.81,2025-04-21
COM371,ART018,270,486.76,2024-11-13
COM372,ART016,220,-478.23,2025-09-17
COM373,ART066,307,141.95,2024-10-26
COM374,ART035,199,-491.83,2026-06-05
COM375,ART096,34,262.94,2024-07-24
COM376,ART017,71,322.64,2025-05-22
COM377,ART019,243,134.38,2026-01-29
COM378,ART053,198,405.86,2025-12-21
COM379,ART062,169,,2024-11-03
COM380,ART032,302,52.89,2025-09-02
COM381,ART082,308,472.46,2025-05-07
COM382,ART032,48,91.02,2026-05-18
COM383,ART030,360,491.75,2025-06-18
COM384,ART090,480,468.1,2026-01-29
COM385,ART078,140,468.86,2025-06-26
COM386,ART038,12,234.98,2026-01-29
COM387,ART097,301,400.93,2024-08-06
COM388,ART017,237,205.92,2025-06-24
COM389,ART076,189,141.28,2024-06-13
COM390,ART072,301,83.66,2026-01-23
COM391,ART021,265,166.31,2025-09-04
COM392,ART055,350,297.59,2025-08-03
COM393,ART058,52,131.58,2024-06-14
COM394,ART078,19,350.18,2024-06-26
COM395,ART084,103,79.73,2024-10-28
COM396,ART100,278,203.73,2026-05-02
COM397,ART069,282,497.3,2025-04-04
COM398,ART049,393,427.88,2025-02-23
COM399,ART039,279,244.46,2025-01-12
COM400,ART100,210,137.57,2027-01-01 00:00:00
COM401,ART001,305,0.0,2027-01-01 00:00:00
COM402,ART024,454,238.95,2025-08-21
COM403,ART033,260,23.46,2025-02-24
COM404,ART031,114,193.11,2024-10-15
COM405,ART017,100,156.85,2025-05-06
COM406,ART033,357,251.19,2025-10-11
COM407,ART036,495,366.37,2025-11-13
COM408,ART070,57,55.89,2025-08-07
COM409,ART031,291,0.0,2024-10-25
COM410,ART011,200,286.1,2025-04-27
COM411,ART066,239,389.02,2027-01-01 00:00:00
COM412,ART056,212,480.58,2026-04-25
COM413,ART071,495,113.04,2025-01-19
COM414,ART051,33,250.33,2025-07-12
COM415,ART064,288,140.37,2024-08-03
COM416,ART088,444,18.81,2024-09-10
COM417,ART051,250,344.0,2026-02-19
COM418,ART020,262,450.93,2025-06-27
COM419,ART063,72,381.18,2024-08-23
COM420,ART087,58,182.24,2024-07-10
COM421,ART070,329,118.05,2026-01-17
COM422,ART055,331,486.67,2027-01-01 00:00:00
COM423,ART015,219,347.46,2024-12-23
COM424,ART005,331,247.7,2025-07-16
COM425,ART007,262,378.28,2024-10-10
COM426,ART062,242,392.88,2026-02-20
COM427,ART062,468,471.51,2026-01-27
COM428,ART042,413,462.58,2025-12-13
COM429,ART029,159,262.32,2024-07-01
COM430,ART080,190,292.5,2025-10-30
COM431,ART047,184,380.33,2026-02-20
COM432,ART028,417,462.78,2025-04-05
COM433,ART045,195,203.74,2024-09-29
COM434,ART067,392,-474.8,2024-12-29
COM435,ART064,378,312.19,2024-06-09
COM436,ART047,428,483.04,2026-01-05
COM437,ART082,182,50.68,2026-03-14
COM438,ART006,256,34.18,2026-01-15
COM439,ART016,148,0.0,2026-01-18
COM440,ART091,421,27.97,2026-02-21
COM441,ART052,280,280.81,2025-11-26
COM442,ART019,492,56.45,2024-08-30
COM443,ART096,434,384.65,2025-01-21
COM444,ART030,99,0.0,2026-01-30
COM445,ART094,409,378.22,2021-06-15 00:00:00
COM446,ART066,99,465.0,2025-09-04
COM447,ART057,38,240.24,2024-10-15
COM448,ART001,141,298.15,2025-04-17
COM449,ART003,461,0.0,2024-09-15
COM450,ART030,209,35.64,2025-07-22
COM451,ART065,202,178.96,2025-12-01
COM452,ART002,264,16.45,2024-09-24
COM453,ART006,240,16.03,2026-05-15
COM454,ART081,476,81.33,2027-01-01 00:00:00
COM455,ART089,11,490.54,2024-07-28
COM456,ART031,102,109.19,2025-02-11
COM457,ART058,372,385.51,2027-01-01 00:00:00
COM458,ART054,195,416.01,2025-07-30
COM459,ART025,11,0.0,2025-10-12
COM460,ART007,105,316.45,2025-07-30
COM461,ART081,384,74.41,2026-04-07
COM462,ART028,153,445.12,2024-07-02
COM463,ART047,279,292.76,2025-03-03
COM464,ART062,440,,2025-06-30
COM465,ART096,434,,2025-06-04
COM466,ART029,243,313.96,2025-02-22
COM467,ART032,173,292.96,2026-04-06
COM468,ART012,41,57.43,2025-05-04
COM469,ART025,80,85.76,2025-01-16
COM470,ART025,188,51.29,2026-05-28
COM471,ART069,393,433.77,2024-10-17
COM472,ART007,409,29.43,2025-05-31
COM473,ART027,491,203.58,2026-05-11
COM474,ART075,452,61.98,2026-04-09
COM475,ART002,417,,2024-09-20
COM476,ART097,222,305.14,2025-09-22
COM477,ART091,15,,2025-01-17
COM478,ART052,270,322.0,2026-04-29
COM479,ART079,383,272.9,2025-11-08
COM480,ART004,383,445.18,2025-08-15
COM481,ART040,372,461.33,2025-06-26
COM482,ART066,463,,2025-10-11
COM483,ART067,347,239.74,2025-10-30
COM484,ART082,322,95.67,2026-03-24
COM485,ART019,108,-246.16,2024-08-14
COM486,ART052,56,166.36,2026-05-23
COM487,ART037,242,481.6,2024-12-18
COM488,ART037,402,228.53,2025-06-01
COM489,ART028,222,89.53,2024-06-09
COM490,ART088,49,120.76,2025-04-09
COM491,ART094,283,70.41,2021-06-15 00:00:00
COM492,ART091,195,421.61,2025-05-15
COM493,ART068,432,455.12,2026-03-10
COM494,ART031,284,169.66,2024-08-21
COM495,ART073,425,0.0,2024-08-21
COM496,ART031,46,17.33,2024-08-18
COM497,ART044,41,348.66,2021-06-15 00:00:00
COM498,ART012,365,389.32,2024-12-31
COM499,ART080,21,-312.84,2024-10-20
COM500,ART047,338,29.68,2024-10-31
COM501,ART043,253,402.0,2026-05-21
COM502,ART055,337,154.83,2024-12-14
COM503,ART099,177,126.7,2025-01-05
COM504,ART066,390,353.92,2024-09-20
COM505,ART082,231,281.89,2024-09-08
COM506,ART010,83,32.67,2026-05-01
COM507,ART073,122,,2025-09-01
COM508,ART038,140,294.27,2025-06-06
COM509,ART094,149,474.19,2026-01-22
COM510,ART073,209,277.71,2026-01-01
COM511,ART078,460,410.72,2025-10-29
COM512,ART026,176,337.18,2025-01-01
COM513,ART031,456,262.74,2026-02-08
COM514,ART064,429,128.77,2027-01-01 00:00:00
COM515,ART011,292,51.29,2024-08-10
COM516,ART030,183,259.14,2025-04-30
COM517,ART035,337,110.02,2025-07-03
COM518,ART049,304,470.35,2026-02-14
COM519,ART053,175,185.9,2025-01-05
COM520,ART078,300,407.83,2025-10-22
COM521,ART009,255,374.05,2026-05-31
COM522,ART085,116,466.02,2024-07-26
COM523,ART083,34,54.55,2025-12-28
COM524,ART028,459,0.0,2024-12-19
COM525,ART025,262,375.57,2026-02-02
COM526,ART064,258,325.55,2025-11-20
COM527,ART051,166,10.06,2025-10-10
COM528,ART057,49,,2025-07-28
COM529,ART052,394,421.63,2025-09-16
COM530,ART029,335,265.84,2024-06-17
COM531,ART089,215,136.13,2025-05-19
COM532,ART052,269,310.5,2024-08-04
COM533,ART063,299,155.13,2026-01-11
COM534,ART021,466,420.55,2025-01-09
COM535,ART082,250,39.13,2026-03-31
COM536,ART037,185,180.33,2024-07-07
COM537,ART046,199,197.74,2025-08-25
COM538,ART027,415,352.31,2025-02-26
COM539,ART046,222,51.76,2026-02-13
COM540,ART037,247,380.25,2025-04-03
COM541,ART032,236,115.7,2025-02-18
COM542,ART043,383,278.51,2025-08-02
COM543,ART064,131,309.7,2025-09-08
COM544,ART036,179,15.07,2025-01-02
COM545,ART019,124,327.44,2024-09-02
COM546,ART003,366,213.65,2025-07-05
COM547,ART039,209,11.32,2025-04-01
COM548,ART072,28,41.48,2025-12-31
COM549,ART037,449,131.58,2024-10-15
COM550,ART011,68,206.04,2026-04-25
COM551,ART007,130,52.47,2026-03-04
COM552,ART069,85,380.31,2025-04-14
COM553,ART018,154,53.97,2025-10-26
COM554,ART056,254,234.28,2024-10-22
COM555,ART048,72,95.28,2024-11-21
COM556,ART053,280,478.2,2025-11-23
COM557,ART077,94,80.26,2026-05-24
COM558,ART044,243,0.0,2024-12-19
COM559,ART036,75,211.49,2025-12-10
COM560,ART060,179,174.69,2025-03-13
COM561,ART034,293,463.75,2025-09-22
COM562,ART036,323,243.7,2025-12-06
COM563,ART002,69,20.89,2024-12-26
COM564,ART084,179,271.55,2025-09-17
COM565,ART010,233,235.27,2024-10-26
COM566,ART059,192,276.99,2025-12-17
COM567,ART005,209,-300.18,2025-05-29
COM568,ART019,490,242.44,2025-09-26
COM569,ART016,161,472.81,2025-12-11
COM570,ART084,140,141.34,2024-07-25
COM571,ART016,162,144.62,2025-06-23
COM572,ART044,439,364.45,2025-04-12
COM573,ART091,58,318.07,2021-06-15 00:00:00
COM574,ART053,397,135.63,2025-11-02
COM575,ART027,146,183.49,2026-02-28
COM576,ART028,32,450.56,2025-10-24
COM577,ART097,419,456.87,2025-01-21
COM578,ART063,76,415.2,2024-10-17
COM579,ART015,399,0.0,2025-08-14
COM580,ART010,399,434.35,2027-01-01 00:00:00
COM581,ART050,69,310.14,2026-04-06
COM582,ART052,229,344.17,2021-06-15 00:00:00
COM583,ART058,496,325.29,2024-12-27
COM584,ART057,350,242.4,2026-03-30
COM585,ART027,393,460.39,2026-02-17
COM586,ART066,303,132.02,2026-03-02
COM587,ART050,189,363.23,2026-05-20
COM588,ART051,183,387.65,2025-08-11
COM589,ART003,129,281.95,2024-08-21
COM590,ART005,219,80.79,2024-07-16
COM591,ART083,377,102.89,2024-10-06
COM592,ART007,397,178.42,2025-10-09
COM593,ART002,12,15.72,2025-02-10
COM594,ART055,481,100.93,2026-01-05
COM595,ART083,96,272.72,2026-05-29
COM596,ART076,61,349.74,2026-03-22
COM597,ART090,147,,2025-04-16
COM598,ART063,307,381.54,2026-05-30
COM599,ART040,403,323.85,2025-09-16
COM600,ART043,298,448.21,2025-10-30
COM601,ART060,153,155.99,2021-06-15 00:00:00
COM602,ART059,33,324.12,2024-08-16
COM603,ART041,361,179.91,2024-09-01
COM604,ART097,321,74.04,2024-12-19
COM605,ART014,430,421.65,2025-12-14
COM606,ART040,483,88.57,2024-09-21
COM607,ART023,97,153.75,2025-07-07
COM608,ART052,448,217.97,2021-06-15 00:00:00
COM609,ART053,363,271.79,2025-03-07
COM610,ART084,124,317.49,2026-05-20
COM611,ART011,292,131.77,2025-09-19
COM612,ART016,298,463.47,2025-02-27
COM613,ART082,48,22.13,2025-11-12
COM614,ART009,140,448.29,2025-10-20
COM615,ART004,344,95.55,2024-10-24
COM616,ART028,288,245.25,2025-01-14
COM617,ART048,285,16.16,2025-08-26
COM618,ART034,261,358.05,2026-05-28
COM619,ART077,308,350.16,2024-07-29
COM620,ART001,343,,2027-01-01 00:00:00
COM621,ART043,342,296.36,2026-04-04
COM622,ART075,237,51.71,2025-11-28
COM623,ART085,23,174.09,2025-10-12
COM624,ART082,191,-291.07,2025-08-11
COM625,ART076,442,260.22,2025-06-06
COM626,ART080,230,141.09,2024-10-11
COM627,ART029,441,347.03,2025-06-07
COM628,ART095,187,235.99,2024-08-25
COM629,ART020,226,197.81,2026-04-01
COM630,ART025,176,315.64,2024-07-13
COM631,ART055,327,150.54,2025-03-17
COM632,ART096,198,234.1,2026-01-29
COM633,ART075,112,457.83,2025-11-13
COM634,ART047,491,348.99,2024-08-23
COM635,ART050,166,67.14,2025-06-10
COM636,ART100,470,0.0,2025-03-16
COM637,ART082,20,433.73,2026-03-12
COM638,ART062,165,235.79,2024-10-09
COM639,ART009,285,274.11,2024-07-13
COM640,ART093,445,41.74,2026-04-20
COM641,ART071,48,475.66,2025-09-26
COM642,ART078,344,384.78,2027-01-01 00:00:00
COM643,ART068,281,420.13,2025-03-21
COM644,ART003,340,417.5,2026-04-20
COM645,ART074,305,77.43,2025-12-28
COM646,ART092,138,,2026-03-06
COM647,ART054,422,429.06,2024-06-30
COM648,ART048,53,420.92,2025-11-19
COM649,ART055,309,287.0,2024-06-12
COM650,ART015,42,477.58,2026-05-23
COM651,ART093,159,113.03,2021-06-15 00:00:00
COM652,ART003,373,437.4,2024-06-14
COM653,ART029,185,-85.68,2025-04-08
COM654,ART006,305,69.63,2025-07-21
COM655,ART031,275,329.6,2025-06-07
COM656,ART026,438,0.0,2025-11-04
COM657,ART074,205,455.19,2026-04-23
